seconds,data
10.784,-72.0538330078125
10.913,-67.34619140625
10.956,-67.005615234375
11.082,-67.642822265625
11.185,-66.6156005859375
11.295,-64.9456787109375
11.384,-61.688232421875
11.507,-61.644287109375
11.563,-62.9901123046875
11.681,-66.4892578125
11.778,-65.93994140625
11.891,-67.69775390625
11.983,-66.9287109375
12.105,-68.5052490234375
12.185,-69.8016357421875
12.32,-71.334228515625
12.367,-76.0858154296875
12.479,-77.7008056640625
12.586,-73.9654541015625
12.7,-76.7999267578125
12.797,-80.8209228515625
12.921,-80.562744140625
12.967,-83.0072021484375
13.092,-82.001953125
13.187,-74.7564697265625
13.3,-73.85009765625
13.396,-76.124267578125
13.509,-73.9544677734375
13.608,-74.5477294921875
13.727,-76.5032958984375
13.788,-75.4815673828125
13.902,-78.870849609375
13.988,-78.211669921875
14.108,-79.2279052734375
14.205,-79.2279052734375
14.328,-83.1060791015625
14.374,-80.013427734375
14.495,-79.8321533203125
14.585,-80.914306640625
14.704,-79.947509765625
14.796,-80.540771484375
14.927,-80.6396484375
15.004,-81.8701171875
15.133,-79.7332763671875
15.195,-77.0526123046875
15.307,-71.2298583984375
15.403,-69.873046875
15.52,-71.026611328125
15.604,-71.2078857421875
15.725,-69.993896484375
15.795,-71.2957763671875
15.914,-74.014892578125
16.009,-77.904052734375
16.111,-78.4039306640625
16.215,-76.4154052734375
16.323,-75.9869384765625
16.426,-77.7667236328125
16.546,-78.9752197265625
16.599,-77.135009765625
16.723,-79.2388916015625
16.819,-80.562744140625
16.935,-77.7227783203125
17.025,-72.88330078125
17.132,-72.0977783203125
17.199,-71.2847900390625
17.335,-72.04833984375
17.417,-71.861572265625
17.538,-69.5599365234375
17.627,-66.851806640625
17.745,-69.400634765625
17.833,-69.01611328125
17.954,-69.2303466796875
18.007,-68.785400390625
18.136,-70.81787109375
18.228,-69.6148681640625
18.353,-70.0927734375
18.439,-70.938720703125
18.558,-68.2305908203125
18.606,-67.752685546875
18.731,-64.764404296875
18.827,-61.3970947265625
18.948,-66.33544921875
19.031,-68.2415771484375
19.16,-66.884765625
19.25,-67.401123046875
19.372,-69.32373046875
19.419,-68.79638671875
19.54,-66.005859375
19.623,-66.1761474609375
19.753,-64.248046875
19.846,-63.2757568359375
19.971,-65.0225830078125
20.016,-68.302001953125
20.146,-69.8895263671875
20.232,-70.0872802734375
20.342,-70.8233642578125
20.447,-69.1424560546875
20.565,-67.9998779296875
20.656,-64.7808837890625
20.775,-64.4677734375
20.827,-67.730712890625
20.949,-66.0882568359375
21.045,-66.7254638671875
21.166,-65.533447265625
21.261,-67.247314453125
21.376,-67.6483154296875
21.428,-66.1212158203125
21.549,-67.6043701171875
21.636,-69.3402099609375
21.769,-68.00537109375
21.844,-65.313720703125
21.964,-64.2041015625
22.065,-65.1763916015625
22.181,-60.128173828125
22.237,-62.8472900390625
22.359,-64.390869140625
22.44,-66.148681640625
